Contig	Order	Family	Genus	VC	VC Status	Size	VC Subcluster	VC Subcluster Size	Quality	Adj P-value	Topology Confidence Score	Genera in VC	Families in VC	Orders in VC	Genus Confidence Score
phage_2956	Unassigned	Unassigned	Unassigned		Singleton										
phage_2960	Unassigned	Unassigned	Unassigned		Outlier										
phage_2961	Unassigned	Unassigned	Unassigned		Singleton										
phage_2973	Unassigned	Unassigned	Unassigned		Singleton										
phage_2984	Unassigned	Unassigned	Unassigned		Singleton										
phage_3046	Unassigned	Unassigned	Unassigned		Singleton										
phage_3055	Unassigned	Unassigned	Unassigned		Singleton										
phage_3056	Unassigned	Unassigned	Unassigned		Singleton										
phage_3066	Unassigned	Unassigned	Unassigned		Singleton										
phage_3067	Unassigned	Unassigned	Unassigned		Outlier										
phage_3069	Unassigned	Unassigned	Unassigned		Singleton										
phage_307	Unassigned	Unassigned	Unassigned		Singleton										
phage_3071	Unassigned	Unassigned	Unassigned		Singleton										
phage_3075	Unassigned	Unassigned	Unassigned		Singleton										
phage_3076	Unassigned	Unassigned	Unassigned		Outlier										
phage_3077	Unassigned	Unassigned	Unassigned		Singleton										
phage_3080	Unassigned	Unassigned	Unassigned		Singleton										
phage_3085	Unassigned	Unassigned	Unassigned		Singleton										
phage_3093	Unassigned	Unassigned	Unassigned		Singleton										
phage_3094	Unassigned	Unassigned	Unassigned		Singleton										
phage_3095	Unassigned	Unassigned	Unassigned		Singleton										
phage_3096	Unassigned	Unassigned	Unassigned		Singleton										
phage_3097	Unassigned	Unassigned	Unassigned		Singleton										
phage_3098	Unassigned	Unassigned	Unassigned		Singleton										
phage_3099	Unassigned	Unassigned	Unassigned		Outlier										
phage_3101	Unassigned	Unassigned	Unassigned		Singleton										
phage_3102	Unassigned	Unassigned	Unassigned		Outlier										
phage_3105	Unassigned	Unassigned	Unassigned		Singleton										
phage_3108	Unassigned	Unassigned	Unassigned		Singleton										
phage_3109	Unassigned	Unassigned	Unassigned		Singleton										
phage_3110	Unassigned	Unassigned	Unassigned		Overlap (VC_483/VC_511)										
phage_3116	Unassigned	Unassigned	Unassigned		Overlap (VC_501/VC_502)										
phage_3119	Unassigned	Unassigned	Unassigned		Singleton										
phage_3120	Unassigned	Unassigned	Unassigned		Singleton										
phage_3121	Unassigned	Unassigned	Unassigned		Singleton										
phage_3124	Unassigned	Unassigned	Unassigned		Singleton										
phage_3126	Unassigned	Unassigned	Unassigned		Singleton										
phage_3133	Unassigned	Unassigned	Unassigned		Singleton										
phage_3135	Unassigned	Unassigned	Unassigned		Outlier										
phage_3138	Unassigned	Unassigned	Unassigned		Singleton										
phage_3140	Unassigned	Unassigned	Unassigned		Outlier										
phage_3141	Unassigned	Unassigned	Unassigned		Outlier										
phage_3143	Unassigned	Unassigned	Unassigned		Singleton										
phage_3145	Unassigned	Unassigned	Unassigned		Singleton										
phage_3146	Unassigned	Unassigned	Unassigned		Singleton										
phage_3148	Unassigned	Unassigned	Unassigned		Singleton										
phage_3150	Unassigned	Unassigned	Unassigned		Singleton										
phage_3151	Unassigned	Unassigned	Unassigned		Overlap (VC_447/VC_454)										
phage_3152	Unassigned	Unassigned	Unassigned		Outlier										
phage_3153	Unassigned	Unassigned	Unassigned		Singleton										
phage_3155	Unassigned	Unassigned	Unassigned		Singleton										
phage_3162	Unassigned	Unassigned	Unassigned		Singleton										
phage_3184	Unassigned	Unassigned	Unassigned		Singleton										
phage_3230	Unassigned	Unassigned	Unassigned		Singleton										
phage_3264	Unassigned	Unassigned	Unassigned		Singleton										
phage_3265	Unassigned	Unassigned	Unassigned		Singleton										
phage_3266	Unassigned	Unassigned	Unassigned		Singleton										
phage_3269	Unassigned	Unassigned	Unassigned		Singleton										
phage_3271	Unassigned	Unassigned	Unassigned		Singleton										
phage_3272	Unassigned	Unassigned	Unassigned		Singleton										
phage_3273	Unassigned	Unassigned	Unassigned		Singleton										
phage_3274	Unassigned	Unassigned	Unassigned		Singleton										
phage_3276	Unassigned	Unassigned	Unassigned		Singleton										
phage_3277	Unassigned	Unassigned	Unassigned		Singleton										
phage_3278	Unassigned	Unassigned	Unassigned		Overlap (VC_483/VC_511)										
phage_3281	Unassigned	Unassigned	Unassigned		Singleton										
phage_3284	Unassigned	Unassigned	Unassigned		Singleton										
phage_3286	Unassigned	Unassigned	Unassigned		Singleton										
phage_3288	Unassigned	Unassigned	Unassigned		Singleton										
phage_3292	Unassigned	Unassigned	Unassigned		Singleton										
phage_3294	Unassigned	Unassigned	Unassigned		Singleton										
phage_3295	Unassigned	Unassigned	Unassigned		Overlap (VC_483/VC_511)										
phage_3299	Unassigned	Unassigned	Unassigned		Singleton										
phage_3301	Unassigned	Unassigned	Unassigned		Singleton										
phage_3302	Unassigned	Unassigned	Unassigned		Singleton										
phage_3303	Unassigned	Unassigned	Unassigned		Outlier										
phage_3304	Unassigned	Unassigned	Unassigned		Singleton										
phage_3305	Unassigned	Unassigned	Unassigned		Outlier										
phage_3313	Unassigned	Unassigned	Unassigned		Singleton										
phage_3315	Unassigned	Unassigned	Unassigned		Outlier										
phage_3317	Unassigned	Unassigned	Unassigned		Singleton										
phage_3320	Unassigned	Unassigned	Unassigned		Singleton										
phage_3321	Unassigned	Unassigned	Unassigned		Outlier										
phage_3324	Unassigned	Unassigned	Unassigned		Singleton										
phage_3325	Unassigned	Unassigned	Unassigned		Singleton										
phage_3326	Unassigned	Unassigned	Unassigned		Singleton										
phage_3327	Unassigned	Unassigned	Unassigned		Singleton										
phage_3331	Unassigned	Unassigned	Unassigned		Singleton										
phage_3345	Unassigned	Unassigned	Unassigned		Outlier										
phage_3346	Unassigned	Unassigned	Unassigned		Singleton										
phage_3350	Unassigned	Unassigned	Unassigned		Singleton										
phage_3355	Unassigned	Unassigned	Unassigned		Singleton										
phage_3358	Unassigned	Unassigned	Unassigned		Singleton										
phage_3360	Unassigned	Unassigned	Unassigned		Singleton										
phage_3363	Unassigned	Unassigned	Unassigned		Singleton										
phage_3366	Unassigned	Unassigned	Unassigned		Singleton										
phage_3367	Unassigned	Unassigned	Unassigned		Singleton										
phage_3380	Unassigned	Unassigned	Unassigned		Singleton										
phage_3393	Unassigned	Unassigned	Unassigned		Singleton										
phage_3396	Unassigned	Unassigned	Unassigned		Singleton										
phage_3428	Unassigned	Unassigned	Unassigned		Singleton										
phage_3431	Unassigned	Unassigned	Unassigned		Singleton										
phage_3509	Unassigned	Unassigned	Unassigned		Singleton										
phage_3551	Unassigned	Unassigned	Unassigned		Singleton										
phage_3554	Unassigned	Unassigned	Unassigned		Outlier										
phage_3589	Unassigned	Unassigned	Unassigned		Singleton										
phage_3621	Unassigned	Unassigned	Unassigned		Singleton										
phage_3627	Unassigned	Unassigned	Unassigned		Singleton										
phage_363	Unassigned	Unassigned	Unassigned		Singleton										
phage_3644	Unassigned	Unassigned	Unassigned		Singleton										
phage_3668	Unassigned	Unassigned	Unassigned		Singleton										
phage_3676	Unassigned	Unassigned	Unassigned		Outlier										
phage_3733	Unassigned	Unassigned	Unassigned		Singleton										
phage_3830	Unassigned	Unassigned	Unassigned		Singleton										
phage_3837	Unassigned	Unassigned	Unassigned		Singleton										
phage_3888	Unassigned	Unassigned	Unassigned		Singleton										
phage_3913	Unassigned	Unassigned	Unassigned		Singleton										
phage_3940	Unassigned	Unassigned	Unassigned		Singleton										
phage_4048	Unassigned	Unassigned	Unassigned		Singleton										
phage_4062	Unassigned	Unassigned	Unassigned		Singleton										
phage_4063	Unassigned	Unassigned	Unassigned		Singleton										
phage_4065	Unassigned	Unassigned	Unassigned		Singleton										
phage_4067	Unassigned	Unassigned	Unassigned		Singleton										
phage_4068	Unassigned	Unassigned	Unassigned		Singleton										
phage_4071	Unassigned	Unassigned	Unassigned		Singleton										
phage_4072	Unassigned	Unassigned	Unassigned		Singleton										
phage_4073	Unassigned	Unassigned	Unassigned		Singleton										
phage_4075	Unassigned	Unassigned	Unassigned		Singleton										
phage_4079	Unassigned	Unassigned	Unassigned		Singleton										
phage_4080	Unassigned	Unassigned	Unassigned		Outlier										
phage_4081	Unassigned	Unassigned	Unassigned		Singleton										
phage_4082	Unassigned	Unassigned	Unassigned		Overlap (VC_229/VC_230/VC_471)										
phage_4083	Unassigned	Unassigned	Unassigned		Overlap (VC_476/VC_477)										
phage_4086	Unassigned	Unassigned	Unassigned		Outlier										
phage_4091	Unassigned	Unassigned	Unassigned		Singleton										
phage_4093	Unassigned	Unassigned	Unassigned		Singleton										
phage_4095	Unassigned	Unassigned	Unassigned		Singleton										
phage_4096	Unassigned	Unassigned	Unassigned		Singleton										
phage_4101	Unassigned	Unassigned	Unassigned		Outlier										
phage_4102	Unassigned	Unassigned	Unassigned		Singleton										
phage_4122	Unassigned	Unassigned	Unassigned		Singleton										
phage_4173	Unassigned	Unassigned	Unassigned		Singleton										
phage_4195	Unassigned	Unassigned	Unassigned		Singleton										
phage_4200	Unassigned	Unassigned	Unassigned		Singleton										
phage_4231	Unassigned	Unassigned	Unassigned		Outlier										
phage_425	Unassigned	Unassigned	Unassigned		Singleton										
phage_4290	Unassigned	Unassigned	Unassigned		Singleton										
phage_4293	Unassigned	Unassigned	Unassigned		Singleton										
phage_434	Unassigned	Unassigned	Unassigned		Outlier										
phage_4431	Unassigned	Unassigned	Unassigned		Singleton										
phage_4457	Unassigned	Unassigned	Unassigned		Singleton										
phage_4460	Unassigned	Unassigned	Unassigned		Singleton										
phage_4478	Unassigned	Unassigned	Unassigned		Singleton										
phage_4485	Unassigned	Unassigned	Unassigned		Singleton										
phage_4488	Unassigned	Unassigned	Unassigned		Singleton										
phage_4490	Unassigned	Unassigned	Unassigned		Singleton										
phage_4492	Unassigned	Unassigned	Unassigned		Singleton										
phage_4494	Unassigned	Unassigned	Unassigned		Outlier										
phage_4495	Unassigned	Unassigned	Unassigned		Singleton										
phage_4497	Unassigned	Unassigned	Unassigned		Singleton										
phage_4500	Unassigned	Unassigned	Unassigned		Overlap (VC_483/VC_511)										
phage_4502	Unassigned	Unassigned	Unassigned		Singleton										
phage_4504	Unassigned	Unassigned	Unassigned		Singleton										
phage_4506	Unassigned	Unassigned	Unassigned		Singleton										
phage_4508	Unassigned	Unassigned	Unassigned		Overlap (VC_229/VC_230/VC_471)										
phage_4509	Unassigned	Unassigned	Unassigned		Singleton										
phage_4510	Unassigned	Unassigned	Unassigned		Singleton										
phage_4511	Unassigned	Unassigned	Unassigned		Outlier										
phage_4512	Unassigned	Unassigned	Unassigned		Outlier										
phage_4514	Unassigned	Unassigned	Unassigned		Singleton										
phage_4515	Unassigned	Unassigned	Unassigned		Singleton										
phage_4516	Unassigned	Unassigned	Unassigned		Singleton										
phage_4519	Unassigned	Unassigned	Unassigned		Singleton										
phage_4521	Unassigned	Unassigned	Unassigned		Outlier										
phage_4523	Unassigned	Unassigned	Unassigned		Singleton										
phage_4527	Unassigned	Unassigned	Unassigned		Outlier										
phage_4531	Unassigned	Unassigned	Unassigned		Singleton										
phage_4532	Unassigned	Unassigned	Unassigned		Singleton										
phage_4534	Unassigned	Unassigned	Unassigned		Outlier										
phage_4539	Unassigned	Unassigned	Unassigned		Overlap (VC_483/VC_511)										
phage_4540	Unassigned	Unassigned	Unassigned		Singleton										
phage_4544	Unassigned	Unassigned	Unassigned		Singleton										
phage_4546	Unassigned	Unassigned	Unassigned		Singleton										
phage_4548	Unassigned	Unassigned	Unassigned		Singleton										
phage_4552	Unassigned	Unassigned	Unassigned		Singleton										
phage_4557	Unassigned	Unassigned	Unassigned		Singleton										
phage_456	Unassigned	Unassigned	Unassigned		Outlier										
phage_4699	Unassigned	Unassigned	Unassigned		Singleton										
phage_4732	Unassigned	Unassigned	Unassigned		Singleton										
phage_4733	Unassigned	Unassigned	Unassigned		Singleton										
phage_4734	Unassigned	Unassigned	Unassigned		Singleton										
phage_4736	Unassigned	Unassigned	Unassigned		Singleton										
phage_4742	Unassigned	Unassigned	Unassigned		Singleton										
phage_4743	Unassigned	Unassigned	Unassigned		Outlier										
phage_4745	Unassigned	Unassigned	Unassigned		Singleton										
phage_4750	Unassigned	Unassigned	Unassigned		Singleton										
phage_4751	Unassigned	Unassigned	Unassigned		Singleton										
phage_4752	Unassigned	Unassigned	Unassigned		Singleton										
phage_4756	Unassigned	Unassigned	Unassigned		Singleton										
phage_4758	Unassigned	Unassigned	Unassigned		Singleton										
phage_4761	Unassigned	Unassigned	Unassigned		Outlier										
phage_4763	Unassigned	Unassigned	Unassigned		Outlier										
phage_4765	Unassigned	Unassigned	Unassigned		Singleton										
phage_4769	Unassigned	Unassigned	Unassigned		Singleton										
phage_4771	Unassigned	Unassigned	Unassigned		Singleton										
phage_4773	Unassigned	Unassigned	Unassigned		Singleton										
phage_4774	Unassigned	Unassigned	Unassigned		Singleton										
phage_4775	Unassigned	Unassigned	Unassigned		Singleton										
phage_4781	Unassigned	Unassigned	Unassigned		Outlier										
phage_4782	Unassigned	Unassigned	Unassigned		Outlier										
phage_4784	Unassigned	Unassigned	Unassigned		Singleton										
phage_4785	Unassigned	Unassigned	Unassigned		Singleton										
phage_4787	Unassigned	Unassigned	Unassigned		Singleton										
phage_4867	Unassigned	Unassigned	Unassigned		Singleton										
phage_4943	Unassigned	Unassigned	Unassigned		Singleton										
phage_4978	Unassigned	Unassigned	Unassigned		Singleton										
phage_5084	Unassigned	Unassigned	Unassigned		Singleton										
phage_5095	Unassigned	Unassigned	Unassigned		Singleton										
phage_5107	Unassigned	Unassigned	Unassigned		Overlap (VC_488/VC_523)										
phage_5136	Unassigned	Unassigned	Unassigned		Singleton										
phage_5138	Unassigned	Unassigned	Unassigned		Outlier										
phage_5145	Unassigned	Unassigned	Unassigned		Singleton										
phage_5159	Unassigned	Unassigned	Unassigned		Singleton										
phage_5208	Unassigned	Unassigned	Unassigned		Singleton										
phage_5239	Unassigned	Unassigned	Unassigned		Singleton										
phage_5259	Unassigned	Unassigned	Unassigned		Singleton										
phage_5295	Unassigned	Unassigned	Unassigned		Outlier										
phage_5296	Unassigned	Unassigned	Unassigned		Singleton										
phage_5301	Unassigned	Unassigned	Unassigned		Overlap (VC_483/VC_511)										
phage_5303	Unassigned	Unassigned	Unassigned		Singleton										
phage_5306	Unassigned	Unassigned	Unassigned		Outlier										
phage_5307	Unassigned	Unassigned	Unassigned		Outlier										
phage_5308	Unassigned	Unassigned	Unassigned		Outlier										
phage_5311	Unassigned	Unassigned	Unassigned		Outlier										
phage_5313	Unassigned	Unassigned	Unassigned		Singleton										
phage_5314	Unassigned	Unassigned	Unassigned		Outlier										
phage_5316	Unassigned	Unassigned	Unassigned		Singleton										
phage_5319	Unassigned	Unassigned	Unassigned		Singleton										
phage_5322	Unassigned	Unassigned	Unassigned		Singleton										
phage_5348	Unassigned	Unassigned	Unassigned		Singleton										
phage_5389	Unassigned	Unassigned	Unassigned		Singleton										
phage_5418	Unassigned	Unassigned	Unassigned		Singleton										
phage_5433	Unassigned	Unassigned	Unassigned		Singleton										
phage_5434	Unassigned	Unassigned	Unassigned		Singleton										
phage_5447	Unassigned	Unassigned	Unassigned		Singleton										
phage_5456	Unassigned	Unassigned	Unassigned		Singleton										
phage_5477	Unassigned	Unassigned	Unassigned		Singleton										
phage_5496	Unassigned	Unassigned	Unassigned		Singleton										
phage_5508	Unassigned	Unassigned	Unassigned		Singleton										
phage_5537	Unassigned	Unassigned	Unassigned		Singleton										
phage_5561	Unassigned	Unassigned	Unassigned		Singleton										
phage_5563	Unassigned	Unassigned	Unassigned		Singleton										
phage_5573	Unassigned	Unassigned	Unassigned		Outlier										
phage_5593	Unassigned	Unassigned	Unassigned		Singleton										
phage_5626	Unassigned	Unassigned	Unassigned		Singleton										
phage_5654	Unassigned	Unassigned	Unassigned		Singleton										
phage_5668	Unassigned	Unassigned	Unassigned		Singleton										
phage_5669	Unassigned	Unassigned	Unassigned		Outlier										
phage_5683	Unassigned	Unassigned	Unassigned		Singleton										
phage_5697	Unassigned	Unassigned	Unassigned		Singleton										
phage_5726	Unassigned	Unassigned	Unassigned		Singleton										
phage_5731	Unassigned	Unassigned	Unassigned		Overlap (VC_484/VC_485)										
phage_5732	Unassigned	Unassigned	Unassigned		Singleton										
phage_5737	Unassigned	Unassigned	Unassigned		Singleton										
phage_5739	Unassigned	Unassigned	Unassigned		Singleton										
phage_5740	Unassigned	Unassigned	Unassigned		Singleton										
phage_5742	Unassigned	Unassigned	Unassigned		Singleton										
phage_5744	Unassigned	Unassigned	Unassigned		Singleton										
phage_5746	Unassigned	Unassigned	Unassigned		Singleton										
phage_5749	Unassigned	Unassigned	Unassigned		Overlap (VC_476/VC_477)										
phage_5751	Unassigned	Unassigned	Unassigned		Singleton										
phage_5752	Unassigned	Unassigned	Unassigned		Outlier										
phage_5755	Unassigned	Unassigned	Unassigned		Singleton										
phage_5759	Unassigned	Unassigned	Unassigned		Singleton										
phage_5760	Unassigned	Unassigned	Unassigned		Singleton										
phage_5761	Unassigned	Unassigned	Unassigned		Singleton										
phage_5762	Unassigned	Unassigned	Unassigned		Singleton										
phage_5763	Unassigned	Unassigned	Unassigned		Overlap (VC_484/VC_485)										
phage_5765	Unassigned	Unassigned	Unassigned		Outlier										
phage_5766	Unassigned	Unassigned	Unassigned		Singleton										
phage_5783	Unassigned	Unassigned	Unassigned		Singleton										
phage_5836	Unassigned	Unassigned	Unassigned		Outlier										
phage_5854	Unassigned	Unassigned	Unassigned		Singleton										
phage_5855	Unassigned	Unassigned	Unassigned		Outlier										
phage_5856	Unassigned	Unassigned	Unassigned		Singleton										
phage_5867	Unassigned	Unassigned	Unassigned		Singleton										
phage_5871	Unassigned	Unassigned	Unassigned		Singleton										
phage_5874	Unassigned	Unassigned	Unassigned		Singleton										
phage_5876	Unassigned	Unassigned	Unassigned		Singleton										
phage_5877	Unassigned	Unassigned	Unassigned		Outlier										
phage_5878	Unassigned	Unassigned	Unassigned		Outlier										
phage_5879	Unassigned	Unassigned	Unassigned		Singleton										
phage_5881	Unassigned	Unassigned	Unassigned		Singleton										
phage_5882	Unassigned	Unassigned	Unassigned		Singleton										
phage_5884	Unassigned	Unassigned	Unassigned		Singleton										
phage_5889	Unassigned	Unassigned	Unassigned		Singleton										
phage_5891	Unassigned	Unassigned	Unassigned		Singleton										
phage_5893	Unassigned	Unassigned	Unassigned		Singleton										
phage_5894	Unassigned	Unassigned	Unassigned		Singleton										
phage_5895	Unassigned	Unassigned	Unassigned		Singleton										
phage_5897	Unassigned	Unassigned	Unassigned		Overlap (VC_447/VC_454)										
phage_5898	Unassigned	Unassigned	Unassigned		Singleton										
phage_5905	Unassigned	Unassigned	Unassigned		Singleton										
phage_5906	Unassigned	Unassigned	Unassigned		Singleton										
phage_5907	Unassigned	Unassigned	Unassigned		Singleton										
phage_5912	Unassigned	Unassigned	Unassigned		Outlier										
phage_5916	Unassigned	Unassigned	Unassigned		Singleton										
phage_5917	Unassigned	Unassigned	Unassigned		Overlap (VC_230/VC_471)										
phage_5918	Unassigned	Unassigned	Unassigned		Singleton										
phage_5919	Unassigned	Unassigned	Unassigned		Singleton										
phage_5920	Unassigned	Unassigned	Unassigned		Outlier										
phage_5922	Unassigned	Unassigned	Unassigned		Singleton										
phage_5923	Unassigned	Unassigned	Unassigned		Singleton										
phage_5924	Unassigned	Unassigned	Unassigned		Outlier										
phage_5926	Unassigned	Unassigned	Unassigned		Singleton										
phage_5927	Unassigned	Unassigned	Unassigned		Singleton										
phage_5931	Unassigned	Unassigned	Unassigned		Outlier										
phage_5932	Unassigned	Unassigned	Unassigned		Singleton										
phage_5995	Unassigned	Unassigned	Unassigned		Singleton										
phage_6002	Unassigned	Unassigned	Unassigned		Singleton										
phage_6131	Unassigned	Unassigned	Unassigned		Singleton										
phage_6166	Unassigned	Unassigned	Unassigned		Singleton										
phage_6170	Unassigned	Unassigned	Unassigned		Singleton										
phage_6179	Unassigned	Unassigned	Unassigned		Singleton										
phage_6224	Unassigned	Unassigned	Unassigned		Singleton										
phage_6246	Unassigned	Unassigned	Unassigned		Outlier										
phage_6269	Unassigned	Unassigned	Unassigned		Outlier										
phage_6272	Unassigned	Unassigned	Unassigned		Singleton										
phage_6280	Unassigned	Unassigned	Unassigned		Singleton										
phage_6313	Unassigned	Unassigned	Unassigned		Singleton										
phage_6334	Unassigned	Unassigned	Unassigned		Singleton										
phage_6337	Unassigned	Unassigned	Unassigned		Singleton										
phage_6339	Unassigned	Unassigned	Unassigned		Singleton										
phage_6347	Unassigned	Unassigned	Unassigned		Singleton										
phage_6349	Unassigned	Unassigned	Unassigned		Singleton										
phage_6355	Unassigned	Unassigned	Unassigned		Singleton										
phage_6359	Unassigned	Unassigned	Unassigned		Singleton										
phage_6367	Unassigned	Unassigned	Unassigned		Singleton										
phage_6371	Unassigned	Unassigned	Unassigned		Singleton										
phage_6372	Unassigned	Unassigned	Unassigned		Outlier										
phage_6400	Unassigned	Unassigned	Unassigned		Singleton										
phage_6432	Unassigned	Unassigned	Unassigned		Singleton										
phage_6466	Unassigned	Unassigned	Unassigned		Singleton										
phage_6468	Unassigned	Unassigned	Unassigned		Singleton										
phage_652	Unassigned	Unassigned	Unassigned		Singleton										
phage_6558	Unassigned	Unassigned	Unassigned		Singleton										
phage_6568	Unassigned	Unassigned	Unassigned		Singleton										
phage_6613	Unassigned	Unassigned	Unassigned		Outlier										
phage_6620	Unassigned	Unassigned	Unassigned		Singleton										
phage_6637	Unassigned	Unassigned	Unassigned		Outlier										
phage_6692	Unassigned	Unassigned	Unassigned		Singleton										
phage_6694	Unassigned	Unassigned	Unassigned		Outlier										
phage_6703	Unassigned	Unassigned	Unassigned		Singleton										
phage_6738	Unassigned	Unassigned	Unassigned		Singleton										
phage_6752	Unassigned	Unassigned	Unassigned		Singleton										
phage_6765	Unassigned	Unassigned	Unassigned		Singleton										
phage_6772	Unassigned	Unassigned	Unassigned		Overlap (VC_483/VC_511)										
phage_6790	Unassigned	Unassigned	Unassigned		Singleton										
phage_6831	Unassigned	Unassigned	Unassigned		Overlap (VC_476/VC_477)										
phage_6843	Unassigned	Unassigned	Unassigned		Singleton										
phage_6854	Unassigned	Unassigned	Unassigned		Singleton										
phage_6857	Unassigned	Unassigned	Unassigned		Singleton										
phage_6869	Unassigned	Unassigned	Unassigned		Outlier										
phage_688	Unassigned	Unassigned	Unassigned		Singleton										
phage_6910	Unassigned	Unassigned	Unassigned		Singleton										
phage_6926	Unassigned	Unassigned	Unassigned		Singleton										
phage_6953	Unassigned	Unassigned	Unassigned		Singleton										
phage_6978	Unassigned	Unassigned	Unassigned		Singleton										
phage_6993	Unassigned	Unassigned	Unassigned		Singleton										
phage_6994	Unassigned	Unassigned	Unassigned		Singleton										
phage_705	Unassigned	Unassigned	Unassigned		Singleton										
phage_7062	Unassigned	Unassigned	Unassigned		Singleton										
phage_7083	Unassigned	Unassigned	Unassigned		Singleton										
phage_7120	Unassigned	Unassigned	Unassigned		Singleton										
phage_7157	Unassigned	Unassigned	Unassigned		Singleton										
phage_733	Unassigned	Unassigned	Unassigned		Singleton										
phage_776	Unassigned	Unassigned	Unassigned		Singleton										
phage_812	Unassigned	Unassigned	Unassigned		Overlap (VC_447/VC_454)										
phage_814	Unassigned	Unassigned	Unassigned		Singleton										
phage_815	Unassigned	Unassigned	Unassigned		Singleton										
phage_816	Unassigned	Unassigned	Unassigned		Outlier										
phage_817	Unassigned	Unassigned	Unassigned		Singleton										
phage_820	Unassigned	Unassigned	Unassigned		Outlier										
phage_823	Unassigned	Unassigned	Unassigned		Singleton										
phage_824	Unassigned	Unassigned	Unassigned		Singleton										
phage_825	Unassigned	Unassigned	Unassigned		Singleton										
phage_827	Unassigned	Unassigned	Unassigned		Singleton										
phage_828	Unassigned	Unassigned	Unassigned		Singleton										
phage_831	Unassigned	Unassigned	Unassigned		Singleton										
phage_832	Unassigned	Unassigned	Unassigned		Singleton										
phage_833	Unassigned	Unassigned	Unassigned		Singleton										
phage_835	Unassigned	Unassigned	Unassigned		Singleton										
phage_838	Unassigned	Unassigned	Unassigned		Singleton										
phage_839	Unassigned	Unassigned	Unassigned		Outlier										
phage_840	Unassigned	Unassigned	Unassigned		Singleton										
phage_841	Unassigned	Unassigned	Unassigned		Outlier										
phage_842	Unassigned	Unassigned	Unassigned		Singleton										
phage_844	Unassigned	Unassigned	Unassigned		Singleton										
phage_851	Unassigned	Unassigned	Unassigned		Overlap (VC_228/VC_230)										
phage_853	Unassigned	Unassigned	Unassigned		Overlap (VC_488/VC_523)										
phage_858	Unassigned	Unassigned	Unassigned		Singleton										
phage_859	Unassigned	Unassigned	Unassigned		Outlier										
phage_861	Unassigned	Unassigned	Unassigned		Singleton										
phage_864	Unassigned	Unassigned	Unassigned		Outlier										
phage_865	Unassigned	Unassigned	Unassigned		Singleton										
phage_867	Unassigned	Unassigned	Unassigned		Singleton										
phage_868	Unassigned	Unassigned	Unassigned		Singleton										
phage_869	Unassigned	Unassigned	Unassigned		Outlier										
phage_875	Unassigned	Unassigned	Unassigned		Singleton										
phage_876	Unassigned	Unassigned	Unassigned		Singleton										
phage_879	Unassigned	Unassigned	Unassigned		Singleton										
phage_886	Unassigned	Unassigned	Unassigned		Singleton										
phage_891	Unassigned	Unassigned	Unassigned		Singleton										
phage_896	Unassigned	Unassigned	Unassigned		Singleton										
phage_897	Unassigned	Unassigned	Unassigned		Overlap (VC_228/VC_230)										
phage_898	Unassigned	Unassigned	Unassigned		Outlier										
phage_899	Unassigned	Unassigned	Unassigned		Singleton										
phage_900	Unassigned	Unassigned	Unassigned		Singleton										
phage_901	Unassigned	Unassigned	Unassigned		Singleton										
phage_904	Unassigned	Unassigned	Unassigned		Singleton										
phage_907	Unassigned	Unassigned	Unassigned		Singleton										
phage_910	Unassigned	Unassigned	Unassigned		Singleton										
phage_912	Unassigned	Unassigned	Unassigned		Singleton										
phage_914	Unassigned	Unassigned	Unassigned		Singleton										
phage_919	Unassigned	Unassigned	Unassigned		Singleton										
phage_920	Unassigned	Unassigned	Unassigned		Singleton										
phage_921	Unassigned	Unassigned	Unassigned		Outlier										
phage_923	Unassigned	Unassigned	Unassigned		Singleton										
phage_932	Unassigned	Unassigned	Unassigned		Singleton										
phage_933	Unassigned	Unassigned	Unassigned		Singleton										
phage_944	Unassigned	Unassigned	Unassigned		Singleton										
phage_948	Unassigned	Unassigned	Unassigned		Singleton										
phage_951	Unassigned	Unassigned	Unassigned		Singleton										
phage_954	Unassigned	Unassigned	Unassigned		Singleton										
phage_96	Unassigned	Unassigned	Unassigned		Singleton										
phage_991	Unassigned	Unassigned	Unassigned		Singleton										
